Id,Position,Nickname,FPPG,Salary,Team,throws,Roll_ERA_pitch,Roll_FB%_pitch,Roll_GB%_pitch,Roll_LOB%_pitch,Roll_K%_pitch,Roll_K-BB%_pitch,Roll_ER_pitch,Roll_IP_pitch,Roll_SO_pitch,Roll_HR_pitch,Roll_x FIP_pitch,Roll_WHIP_pitch,Team_FD,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R,Throw_L,Throw_R
27318-5481,P,Max Scherzer,45.5,11800,WAS,R,3.275500000000004,0.5237851659999998,0.34552886342857153,0.8912428571428567,0.2628428571428573,0.1843285714285712,2.4285714285714284,6.714285714285714,7.0,1.2857142857142858,4.339333421714283,1.0204000000000009,WAS,104,105,103,102,85,79,95,100,0,1
27318-79109,P,Tyler Mahle,24.63636364,6100,CIN,R,2.1340285714285723,0.319631496,0.4430292761428571,0.8542857142857144,0.2358142857142858,0.1243285714285714,1.2857142857142858,5.5,5.857142857142858,0.42857142857142855,3.9305018060000014,1.389671428571429,WAS,104,105,103,102,85,79,95,100,0,1
27318-5522,P,Zack Greinke,37.63636364,11000,ARI,R,2.965700000000005,0.28499420342857146,0.4332226665714284,0.8602571428571429,0.2393142857142857,0.1781857142857143,1.7142857142857142,5.828571428571429,5.857142857142858,0.42857142857142855,3.4591194397142853,1.2116571428571423,ARI,101,99,107,106,118,136,104,104,0,1
27318-6311,P,Madison Bumgarner,32.1,9500,SFG,L,3.2142857142857166,0.3809792334285714,0.4063059431428568,0.8557714285714283,0.22727142857142846,0.09565714285714286,1.8571428571428568,6.014285714285713,5.7142857142857135,0.5714285714285714,4.6767974694285686,1.292942857142857,ARI,101,99,107,106,118,136,104,104,1,0
27318-5427,P,Clayton Kershaw,33.125,10700,LOS,L,2.8775571428571447,0.2739668634285714,0.4638442534285712,0.7769857142857145,0.22372857142857155,0.17102857142857156,1.8571428571428568,5.7142857142857135,5.0,0.42857142857142855,3.3019671517142872,1.088442857142858,LOS,96,96,98,99,78,75,105,96,1,0
27318-5885,P,Jhoulys Chacin,27.52173913,8100,MIL,R,4.349771428571427,0.2816326528571429,0.4769557821428572,0.7285714285714284,0.1809857142857143,0.08371428571428574,2.4285714285714284,5.500000000000001,4.428571428571429,0.2857142857142857,4.484038160285714,1.3959714285714289,LOS,96,96,98,99,78,75,105,96,0,1
27318-38272,P,Mike Foltynewicz,34.2,8500,ATL,R,3.7147,0.38315469671428587,0.4627520861428572,0.7814,0.29367142857142875,0.1972999999999999,2.4285714285714284,5.342857142857143,6.428571428571429,0.7142857142857143,3.7056599871428597,1.1596571428571412,NYM,94,96,97,95,89,82,99,98,0,1
27318-6200,P,Jason Vargas,12.6,5500,NYM,L,5.081614285714286,0.3837044532857143,0.450728125,0.8200000000000002,0.1851,0.09261428571428562,2.4285714285714284,4.9,3.8571428571428568,0.7142857142857143,5.041948588285712,1.4678857142857131,NYM,94,96,97,95,89,82,99,98,1,0
27318-79951,P,Nick Pivetta,27.77272727,8300,PHI,R,4.914942857142859,0.35476190457142864,0.4589569158571429,0.7600142857142859,0.2870285714285714,0.20545714285714284,2.7142857142857144,5.442857142857141,6.857142857142858,0.7142857142857143,3.3806065095714284,1.4565857142857153,PHI,97,99,98,98,96,95,108,116,0,1
27318-83152,P,Pablo Lopez,17.71428571,5500,MIA,R,3.770221904761905,0.34043181978095244,0.450946274447619,0.7881352380952381,0.20989809523809524,0.12617904761904758,2.257142857142857,5.606666666666667,5.038095238095239,0.638095238095238,4.231637637266665,1.3099457142857143,PHI,97,99,98,98,96,95,108,116,0,1
27318-5547,P,CC Sabathia,26.84210526,7500,NYY,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,1,0
27318-63476,P,Brian Johnson,10.25925926,5900,BOS,L,2.602028571428572,0.3966170264285713,0.4408386542857143,0.8090857142857142,0.1959,0.11977142857142856,1.4285714285714286,4.771428571428572,4.0,0.42857142857142855,4.546881544142857,1.3350142857142857,BOS,103,104,124,106,121,88,90,101,1,0
27318-11321,P,Mike Montgomery,11.46666667,6800,CHC,L,4.071428571428572,0.3125954924285713,0.4475458361428571,0.7604571428571427,0.1397857142857142,0.05954285714285711,2.4285714285714284,5.571428571428571,3.4285714285714284,0.5714285714285714,4.868777139428569,1.4380857142857144,CHC,102,98,102,98,96,111,94,105,1,0
27318-17118,P,Robbie Erlin,9.172413792999999,5700,SDP,R,3.770221904761905,0.34043181978095244,0.450946274447619,0.7881352380952381,0.20989809523809524,0.12617904761904758,2.257142857142857,5.606666666666667,5.038095238095239,0.638095238095238,4.231637637266665,1.3099457142857143,CHC,102,98,102,98,96,111,94,105,0,1
27318-5661,P,Felix Hernandez,23.33333333,6600,SEA,R,4.072957142857144,0.28516230999999986,0.5245017302857142,0.7506000000000002,0.19337142857142875,0.1421142857142856,2.4285714285714284,5.857142857142858,4.857142857142857,0.7142857142857143,3.935209863,1.2942285714285713,SEA,98,98,96,96,82,90,100,98,0,1
27318-81934,P,Luis Santos,7.222222222,5600,TOR,R,3.770221904761905,0.34043181978095244,0.450946274447619,0.7881352380952381,0.20989809523809524,0.12617904761904758,2.257142857142857,5.606666666666667,5.038095238095239,0.638095238095238,4.231637637266665,1.3099457142857143,SEA,98,98,96,96,82,90,100,98,0,1
27318-12269,P,Andrew Cashner,23.23809524,6400,BAL,R,3.1704999999999983,0.28844364657142885,0.4631322621428571,0.7712285714285718,0.1532142857142857,0.08530000000000007,2.142857142857143,5.614285714285715,3.571428571428572,0.7142857142857143,4.2712659721428565,1.2046571428571418,TEX,104,103,97,101,112,106,102,100,0,1
27318-5440,P,Yovani Gallardo,15.4,6300,TEX,R,6.558628571428572,0.3389183738571427,0.4532262022857141,0.6160428571428571,0.15894285714285708,0.06028571428571429,4.0,5.514285714285713,4.0,1.0,4.922150960857137,1.4743857142857146,TEX,104,103,97,101,112,106,102,100,0,1
