P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
27274-52268,27274-13303,27274-16947,27274-13929,27274-13394,27274-12977,27274-13864,27274-5189,27274-38561
27274-38101,27274-13303,27274-16947,27274-13929,27274-38561,27274-13864,27274-12977,27274-38040,27274-13394
27274-52268,27274-13303,27274-16947,27274-13929,27274-38561,27274-13864,27274-38040,27274-5189,27274-6130
27274-52268,27274-13303,27274-16947,27274-13929,27274-38561,27274-5292,27274-12977,27274-13593,27274-13394
27274-52268,27274-13303,27274-16947,27274-13929,27274-13394,27274-13593,27274-38040,27274-38319,27274-38561
27274-52268,27274-13303,27274-13354,27274-13929,27274-38561,27274-13864,27274-14447,27274-12977,27274-13394
27274-52268,27274-13303,27274-16947,27274-13929,27274-13394,27274-38319,27274-38040,27274-12977,27274-52168
27274-52268,27274-13303,27274-13354,27274-13929,27274-13394,27274-14447,27274-12977,27274-13864,27274-38561
27274-52268,27274-13303,27274-16947,27274-6130,27274-21874,27274-13864,27274-38040,27274-12977,27274-38319
27274-52268,27274-13303,27274-16947,27274-6130,27274-13394,27274-38319,27274-13864,27274-38040,27274-5292
