,FPPG,Id,Nickname,Position
0,31.6875,27274-52268,Masahiro Tanaka,P
1,11.03157873,27274-12977,Eric Thames,OF
2,6.2302324160000015,27274-13394,Tyler Saladino,SS
3,12.426168,27274-13929,Manny Machado,3B
4,7.978788125,27274-13864,Joc Pederson,OF
5,10.15619071,27274-38561,Chris Taylor,SS
6,9.376470588,27274-16947,Jonathan Schoop,2B
7,8.286904471,27274-5189,Josh Reddick,OF
8,10.20786517,27274-13303,Yasmani Grandal,C
9,6.2302324160000015,27274-13394,Tyler Saladino,SS
10,12.426168,27274-13929,Manny Machado,3B
11,10.20786517,27274-13303,Yasmani Grandal,C
12,10.46213569,27274-38319,Odubel Herrera,OF
13,9.464077551,27274-5292,Matt Kemp,OF
14,11.69038508,27274-38040,Eddie Rosario,OF
15,9.376470588,27274-16947,Jonathan Schoop,2B
16,7.170103093,27274-52168,Colin Moran,3B
17,31.6875,27274-52268,Masahiro Tanaka,P
18,10.15619071,27274-38561,Chris Taylor,SS
19,6.2302324160000015,27274-13394,Tyler Saladino,SS
20,9.376470588,27274-16947,Jonathan Schoop,2B
21,7.978788125,27274-13864,Joc Pederson,OF
22,27.66666667,27274-38101,Tanner Roark,P
23,11.03157873,27274-12977,Eric Thames,OF
24,10.20786517,27274-13303,Yasmani Grandal,C
25,10.46213569,27274-38319,Odubel Herrera,OF
26,12.426168,27274-13929,Manny Machado,3B
27,10.20786517,27274-13303,Yasmani Grandal,C
28,10.46213569,27274-38319,Odubel Herrera,OF
29,11.69038508,27274-38040,Eddie Rosario,OF
30,11.03157873,27274-12977,Eric Thames,OF
31,31.6875,27274-52268,Masahiro Tanaka,P
32,7.978788125,27274-13864,Joc Pederson,OF
33,9.376470588,27274-16947,Jonathan Schoop,2B
34,6.2302324160000015,27274-13394,Tyler Saladino,SS
35,3.538666585,27274-6130,Jose Reyes,3B
36,12.426168,27274-13929,Manny Machado,3B
37,10.15619071,27274-38561,Chris Taylor,SS
38,31.6875,27274-52268,Masahiro Tanaka,P
39,10.20786517,27274-13303,Yasmani Grandal,C
40,9.685897436,27274-14447,Leonys Martin,OF
41,11.69038508,27274-38040,Eddie Rosario,OF
42,9.464077551,27274-5292,Matt Kemp,OF
43,6.2302324160000015,27274-13394,Tyler Saladino,SS
44,10.02547124,27274-13354,Cesar Hernandez,2B
45,7.978788125,27274-13864,Joc Pederson,OF
46,9.685897436,27274-14447,Leonys Martin,OF
47,10.02547124,27274-13354,Cesar Hernandez,2B
48,6.672000122,27274-13593,Keon Broxton,OF
49,31.6875,27274-52268,Masahiro Tanaka,P
50,10.15619071,27274-38561,Chris Taylor,SS
51,10.20786517,27274-13303,Yasmani Grandal,C
52,12.426168,27274-13929,Manny Machado,3B
53,11.03157873,27274-12977,Eric Thames,OF
54,10.20786517,27274-13303,Yasmani Grandal,C
55,7.978788125,27274-13864,Joc Pederson,OF
56,8.286904471,27274-5189,Josh Reddick,OF
57,31.6875,27274-52268,Masahiro Tanaka,P
58,11.03157873,27274-12977,Eric Thames,OF
59,6.2302324160000015,27274-13394,Tyler Saladino,SS
60,9.376470588,27274-16947,Jonathan Schoop,2B
61,12.426168,27274-13929,Manny Machado,3B
62,10.15619071,27274-38561,Chris Taylor,SS
63,11.03157873,27274-12977,Eric Thames,OF
64,6.2302324160000015,27274-13394,Tyler Saladino,SS
65,10.15619071,27274-38561,Chris Taylor,SS
66,31.6875,27274-52268,Masahiro Tanaka,P
67,12.426168,27274-13929,Manny Machado,3B
68,7.978788125,27274-13864,Joc Pederson,OF
69,9.685897436,27274-14447,Leonys Martin,OF
70,6.449999723,27274-17012,Curt Casali,C
71,9.376470588,27274-16947,Jonathan Schoop,2B
72,10.46213569,27274-38319,Odubel Herrera,OF
73,12.426168,27274-13929,Manny Machado,3B
74,10.20786517,27274-13303,Yasmani Grandal,C
75,10.15619071,27274-38561,Chris Taylor,SS
76,10.02547124,27274-13354,Cesar Hernandez,2B
77,7.978788125,27274-13864,Joc Pederson,OF
78,11.03157873,27274-12977,Eric Thames,OF
79,27.66666667,27274-38101,Tanner Roark,P
80,11.69038508,27274-38040,Eddie Rosario,OF
81,6.2302324160000015,27274-13394,Tyler Saladino,SS
82,31.6875,27274-52268,Masahiro Tanaka,P
83,9.376470588,27274-16947,Jonathan Schoop,2B
84,12.426168,27274-13929,Manny Machado,3B
85,7.978788125,27274-13864,Joc Pederson,OF
86,10.15619071,27274-38561,Chris Taylor,SS
87,10.20786517,27274-13303,Yasmani Grandal,C
88,4.982352762,27274-13283,Jim Adduci,OF
89,11.69038508,27274-38040,Eddie Rosario,OF
